Ticker,FiscalDate,Gross Margin (calc),Operating Margin (calc),Net Margin (calc),EBITDA Margin (calc),FCF Margin (calc),ROE (calc),ROA (calc),ROIC (calc),ROCE (calc),P/E (calc),P/S (calc),P/B (calc),P/FCF (calc),EV/EBITDA (calc),EV/Revenue (calc),EV/FCF (calc),Earnings Yield (calc),Debt/Equity (calc),Debt/Assets (calc),Net Debt/EBITDA (calc),Interest Coverage (calc),Current Ratio (calc),Quick Ratio (calc),Asset Turnover (calc),Receivables Turnover (calc),Cash Conversion Cycle (calc),Cash Conversion Ratio (calc),CapEx/Revenue (calc),SBC/Revenue (calc),Source
AME,2026-03-31,0.372094,0.267022,0.207088,0.321182,0.220929,0.036574,0.024486,0.031851,0.037916,136.021432,28.168465,4.974781,127.499979,90.89022,29.192291,132.134158,0.007352,0.199422,0.133514,2.738709,24.577407,1.138372,0.723509,0.11824,1.67116,376.411772,1.130607,0.013207,0.005034,quarterly
AMGN,2026-03-31,0.681597,0.309353,0.21107,0.447552,0.171385,0.197933,0.019664,0.034986,0.040578,108.680458,22.939168,21.511399,133.845466,62.995783,28.193866,164.505576,0.009201,6.237541,0.619681,11.74099,4.171994,1.26127,1.013384,0.093164,0.943095,819.46354,1.203408,0.082618,0.008703,quarterly
AMP,2026-03-31,,,0.19015,,0.08936,0.147296,0.004961,,,51.862267,9.861591,7.639082,110.35808,,8.822106,98.725517,0.019282,0.93593,0.031521,,15.3,,,0.026089,0.31775,,0.501639,0.006027,0.008105,quarterly
AMT,2026-03-31,0.743087,0.452676,0.313973,0.688073,0.347434,0.243996,0.013592,0.02618,0.025514,92.181235,28.942382,22.491845,83.303303,68.688511,47.262714,136.033728,0.010848,12.8119,0.713711,18.959811,3.931471,0.304175,,0.043291,3.807901,,1.629552,0.164201,0.021333,quarterly
AMZN,2026-03-31,0.518161,0.131402,0.166677,0.328225,-0.100105,0.068464,0.033007,0.032314,0.058059,87.902173,14.65125,6.018095,-146.358497,46.189615,15.160568,-151.44632,0.011376,0.474952,0.228978,0.289666,50.7925,1.177153,1.008604,0.198029,2.403207,-216.257832,0.86042,0.243517,0.022213,quarterly
ANET,2026-03-31,0.618974,0.42739,0.377593,0.435991,0.60502,0.075843,0.047233,0.069066,0.076694,207.555536,78.371561,15.741602,129.535423,169.300612,73.813567,122.001802,0.004818,,,,,2.828722,2.465923,0.125089,1.408151,885.667168,1.655587,0.020118,0.044629,quarterly
AON,2026-03-31,0.524632,0.358959,0.240763,0.383393,0.07211,0.123246,0.023566,0.05885,0.064406,64.70923,15.579576,7.975146,216.053957,48.085279,18.435556,255.660021,0.015454,1.57352,0.300881,6.987047,9.675978,1.066267,,0.097883,0.989192,,0.354785,0.013309,0.016289,quarterly
AOS,2026-03-31,0.386739,0.171108,0.124788,0.196383,0.12574,0.062836,0.032326,0.049491,0.058365,68.739102,8.577849,4.3193,68.21879,46.118548,9.05691,72.028715,0.014548,0.349593,0.179848,2.318794,22.788732,1.558365,1.00205,0.259047,1.491247,210.458199,1.09661,0.011104,0.00698,quarterly
APA,2026-03-31,0.535453,0.432746,0.191663,0.618393,0.003438,0.069083,0.02467,0.060607,0.056839,27.913055,5.349902,1.928318,1556.152832,12.254498,7.578093,2204.27776,0.035826,0.702602,0.250899,2.863794,15.821429,0.918908,0.784825,0.128713,1.598214,71.710138,1.242152,0.234637,,quarterly
APD,2026-03-31,0.311306,0.23731,0.223974,0.412384,-0.00123,0.045393,0.017059,0.018484,0.024468,92.664505,20.754418,4.206344,-16879.195897,65.609146,27.056171,-22004.298043,0.010792,1.173036,0.440822,12.849235,18.848485,1.42675,1.20818,0.076163,1.636889,-126.075286,1.553632,0.349202,0.005013,quarterly
APH,2026-03-31,0.367475,0.255732,0.122439,0.307004,0.108909,0.066753,0.022144,0.034131,0.0559,199.369187,24.410631,13.308586,224.137187,85.6168,26.284687,241.344671,0.005016,1.34143,0.444985,6.24985,8.915825,1.714119,1.25875,0.180855,1.297502,349.866058,1.202036,0.038267,0.004488,quarterly
APO,2026-03-31,0.918331,0.15701,-0.376903,0.161163,0.320348,-0.095534,-0.004077,0.0,0.003282,-36.439172,13.734044,3.481182,42.872261,108.614803,17.50466,54.642632,-0.027443,0.712746,0.030415,,3.096296,0.780539,,0.010816,,,-0.849948,,0.045877,quarterly
APP,2026-03-31,0.889478,0.781532,0.654354,0.822944,0.700911,0.5101,0.156417,0.206345,0.238611,118.296477,77.407717,60.343049,110.438705,94.781763,78.000065,111.283817,0.008453,1.486798,0.45591,0.498176,28.979593,3.243866,,0.23904,0.940974,,1.071151,,0.045251,quarterly
APTV,2026-03-31,0.180889,0.086512,0.037161,0.12269,-0.071176,0.02047,0.007499,0.016948,0.018576,64.348317,2.391237,1.317213,-33.596221,30.71127,3.767958,-52.938763,0.01554,1.070725,0.392255,9.899038,4.202247,2.114816,1.573091,0.201801,1.339126,232.438647,-0.756614,0.043059,0.004719,quarterly
ARE,2026-03-31,0.656757,0.135901,0.553822,1.176702,0.301103,0.022985,0.010585,0.003141,0.014833,24.199475,13.402203,0.556232,44.510399,32.328582,38.041122,126.339343,0.041323,0.818516,0.376927,15.748625,7.168354,0.285328,,0.019112,88.700489,,0.543681,,0.016894,quarterly
ARES,2026-03-31,0.504161,0.163253,0.102109,0.359832,0.279907,0.035422,0.005022,0.011534,0.02425,290.731575,29.686376,10.298297,106.058056,93.278399,33.564529,119.913211,0.00344,3.514598,0.49825,23.840788,2.650767,0.98102,,0.049179,,,2.850956,0.011202,,quarterly
ATO,2026-03-31,0.560178,0.389729,0.296524,0.498372,-0.142733,0.039031,0.019154,0.024723,0.026864,50.968145,15.113271,1.989336,-105.885107,40.042507,19.95608,-139.814322,0.01962,0.645882,0.316959,9.71725,16.053847,1.002806,0.894842,0.064595,3.04423,,1.243324,0.511408,,quarterly
AVB,2026-03-31,0.625424,0.29414,0.422873,0.821247,0.466021,0.028347,0.014721,0.010866,0.019459,83.969911,35.508587,2.380271,76.195292,57.494569,47.217219,101.319991,0.011909,0.828805,0.430413,14.605039,5.588062,0.182259,,0.034812,,,1.286136,0.077851,0.007399,quarterly
AVGO,2026-04-30,0.694776,0.489431,0.419615,0.589129,0.462523,0.106168,0.051965,0.065401,0.068037,189.498365,79.516373,20.11871,171.918707,138.436901,81.557161,176.331001,0.005277,0.740179,0.362289,3.464081,14.054124,2.237992,2.008536,0.12384,2.048661,285.476866,1.127068,0.010412,0.094289,quarterly
AVY,2026-03-31,0.289232,0.126039,0.073135,0.157842,0.043724,0.073071,0.018722,0.03326,0.044668,72.991213,5.338187,5.333546,122.087791,43.435012,6.855872,156.798232,0.0137,1.647511,0.422126,9.74366,7.752809,1.149945,0.79655,0.255998,1.395483,185.573309,0.812017,0.015662,0.002523,quarterly
AWK,2026-03-31,0.591549,0.323944,0.162386,0.545982,-0.326429,0.017758,0.005558,0.011097,0.013549,134.614047,21.859448,2.390537,-66.965364,63.596889,34.722742,-106.371446,0.007429,1.422307,0.445157,23.503794,2.588957,0.370083,0.342399,0.034228,3.126943,-0.250264,1.556122,0.579122,,quarterly
AXON,2026-03-31,0.59118,0.036221,0.209715,0.321083,-0.067681,0.047908,0.023959,0.004697,0.039065,242.922106,50.944302,11.637893,-752.710875,162.92029,52.310985,-772.903851,0.004117,0.517292,0.258696,4.907189,7.990224,2.271072,1.933399,0.114244,1.196779,562.513013,-0.186147,0.028643,0.166844,quarterly
AXP,2026-03-31,,,0.157129,,0.140417,0.087395,0.009618,,,81.610474,12.823393,7.132364,91.323811,,13.172028,93.806669,0.012253,1.777967,0.195672,,,,,0.061212,,,1.280377,0.060768,0.010736,quarterly
AZO,2026-05-31,0.521504,0.190821,0.132513,0.223933,0.094295,,,,,77.52909,10.273647,,108.952049,57.700608,12.921065,137.027916,0.012898,,,,8.360539,,,,,,1.250192,0.071372,0.006233,quarterly
BA,2026-03-31,0.114597,0.020075,-0.00018,0.054688,-0.065445,-0.000668,-2.4e-05,0.0,0.010837,-42180.087808,7.5942,28.181118,-116.038756,163.096584,8.919402,-136.287724,-2.4e-05,7.885251,0.286485,31.084774,1.042208,1.176168,0.349759,0.134823,6.375036,1421.286912,44.75,0.057388,0.007247,quarterly
BAC,2026-03-31,,,0.283562,,1.379823,0.02855,0.002455,,,50.092133,14.204244,1.430119,10.294251,,5.753431,4.169688,0.019963,1.275806,0.109718,,,,,0.008659,0.315064,,4.86603,,0.034091,quarterly
BALL,2026-03-31,0.179295,0.093533,0.056897,0.137386,-0.260339,0.036607,0.010369,0.019096,0.023644,81.445458,4.634005,2.981486,-17.799914,48.808726,6.705612,-25.75727,0.012278,1.394107,0.394891,14.29697,4.307692,1.118726,0.718834,0.182246,2.163964,-27.467729,-3.790244,0.044685,,quarterly
BAX,2026-03-31,0.329878,0.024435,-0.005553,0.114402,0.028138,-0.002482,-0.000756,0.004256,0.004457,-778.490948,4.323348,1.932379,153.649529,62.525453,7.153041,254.21533,-0.001285,1.603012,0.488108,24.097087,0.923077,1.854048,1.226916,0.136098,1.590695,477.498133,-14.2,0.050722,0.003702,quarterly
BBY,2026-04-30,0.235228,0.040398,0.030886,0.065242,0.02406,0.089523,0.018536,0.061991,0.054843,65.223264,2.014505,5.838995,83.72847,34.704323,2.26417,94.105209,0.015332,1.338307,0.277099,,35.363636,1.120944,0.402976,0.600134,9.863135,62.643014,1.358696,0.017905,0.004476,quarterly
BDX,2026-03-31,0.456937,0.132796,-0.065974,0.150191,0.100764,-0.012887,-0.006118,0.0,0.004442,-140.135776,9.245275,1.805993,91.752056,84.809647,12.737639,126.411011,-0.007136,0.71602,0.339924,23.257062,1.261745,0.941813,0.547196,0.092737,2.137868,,-1.92926,0.026517,0.012304,quarterly
BEN,2026-03-31,0.800558,0.159223,0.116868,0.237745,-0.012027,0.022122,0.007863,0.010711,0.014185,63.220584,7.388453,1.398552,-614.339154,37.218034,8.848385,-735.730421,0.015818,1.269742,0.45131,19.86327,23.396985,3.884897,,0.06728,1.609101,,-0.102908,,0.023008,quarterly
BG,2026-03-31,0.03504,0.01075,0.003111,0.021957,-0.040117,0.004238,0.001429,0.007655,0.007899,339.959688,1.057466,1.440776,-26.359474,81.838037,1.79691,-44.791628,0.002942,1.015332,0.342421,28.783333,1.337017,1.59941,0.688666,0.459496,5.499623,226.45257,-7.955882,0.01537,0.001052,quarterly
BIIB,2026-03-31,0.733231,0.185568,0.128945,0.262208,0.225724,0.01713,0.010837,0.015595,0.016814,95.185515,12.273699,1.630509,54.374704,50.317024,13.193547,58.449796,0.010506,0.351812,0.222565,4.472526,6.587278,3.06459,2.414685,0.084041,1.383937,1142.004409,2.020344,0.034789,0.033901,quarterly
BK,2026-03-31,,,0.305847,,-0.680285,0.036442,0.002906,,,57.686121,17.643132,2.102221,-25.934917,,-12.383066,18.202766,0.017335,0.753835,0.060121,,,,,0.009503,0.805191,,-1.846201,0.11563,,quarterly
BKNG,2026-03-31,,0.229754,0.19577,0.328091,0.561822,-0.12414,0.039069,0.101549,0.208876,129.990686,25.448285,-16.137083,45.295982,79.301331,26.018062,46.31014,0.007693,-2.171366,0.683369,1.316253,6.529644,1.056686,,0.199567,1.571591,,2.968606,0.019342,0.025488,quarterly
BKR,2026-03-31,0.228329,0.122818,0.141187,0.26021,0.024898,0.048152,0.018273,0.016789,0.036283,59.684133,8.426635,2.873886,338.452705,32.620912,8.488271,340.928312,0.016755,0.836906,0.317589,0.816803,15.813953,2.131589,1.768657,0.129421,1.196114,349.029531,0.537634,0.05101,0.006832,quarterly
BLDR,2026-03-31,0.282612,0.005025,-0.014424,0.050159,0.012385,-0.011841,-0.004195,0.001566,0.001733,-168.46071,2.429939,1.994745,196.207131,79.944765,4.009937,323.785233,-0.005936,1.321585,0.468183,27.53112,0.222013,1.758658,1.087387,0.290812,2.826351,170.127443,-1.844476,0.014221,0.004146,quarterly
BLK,2026-03-31,0.480143,0.337563,0.330248,0.501045,-0.162138,0.039021,0.012994,0.02665,0.0177,78.816543,26.028993,3.075469,-160.536089,52.037844,26.073306,-160.809398,0.012688,0.263989,0.087907,0.866508,22.208955,11.931807,,0.039345,1.283388,,-0.443038,0.015826,0.047626,quarterly
BMY,2026-03-31,0.702237,0.292889,0.233005,0.369484,0.065889,0.133396,0.030957,0.043119,0.054235,46.333738,10.796015,6.180756,163.851276,37.694323,13.927444,211.377018,0.021583,2.313534,0.536889,8.217903,8.883212,1.42019,1.276334,0.132858,1.445703,94.778708,0.412402,0.030203,0.012708,quarterly
BNY,2026-03-31,,,0.305847,,-0.680285,0.036442,0.002906,,,66.085015,20.211909,2.408297,-29.710949,,-4.769053,7.010376,0.015132,0.753835,0.060121,,,,,0.009503,0.805191,,-1.846201,0.11563,,quarterly
BR,2026-03-31,0.320895,0.184019,0.141431,0.23362,0.139435,0.09802,0.031472,0.048237,0.053532,62.751847,8.875069,6.150963,63.650276,44.785353,10.462754,75.03684,0.015936,1.208777,0.388111,6.402717,13.47619,0.942833,,0.222526,1.480785,,1.089758,0.014691,0.012439,quarterly
BRO,2026-03-31,0.517553,0.293085,0.226596,0.410106,0.128191,0.033839,0.014343,0.021627,0.029835,55.17848,12.503209,1.867188,97.535405,39.748421,16.301081,127.16196,0.018123,0.640241,0.27138,8.844358,6.07619,1.016715,,0.0633,0.867959,,0.615023,0.01117,0.01383,quarterly
BSX,2026-03-31,0.694407,0.206035,0.257736,0.308091,0.032866,0.051848,0.030236,0.029155,0.031473,48.802548,12.57817,2.530321,382.714718,46.949604,14.464773,440.118218,0.020491,0.426423,0.248675,5.896444,13.911111,1.899803,1.217895,0.117314,1.718864,665.959669,0.259508,0.034019,0.015952,quarterly
BX,2026-03-31,,,0.216376,,0.318917,0.077619,0.013444,,,238.741495,51.657905,18.530825,161.979198,,41.812265,131.107082,0.004189,1.691822,0.293042,,,,,0.062135,,,1.525322,0.011126,,quarterly
BXP,2026-03-31,0.596325,0.261316,0.116466,0.588279,0.179403,0.019692,0.004046,0.010972,0.012037,122.618062,14.280893,2.414626,79.602292,57.605248,33.887934,188.892758,0.008155,3.171382,0.651676,29.433301,1.874504,1.614549,,0.034744,9.675805,,1.540384,,0.029032,quarterly
C,2026-03-31,,,0.234562,,-0.944248,0.027422,0.002083,,,37.50881,8.798138,1.028581,-9.317609,,-14.29662,15.140739,0.02666,1.799506,0.136668,,,,,0.008879,0.268894,,-3.780985,0.057373,,quarterly
CAG,2026-05-31,0.244301,0.105132,-0.561015,-0.515319,0.137851,-0.254326,-0.093601,0.021303,-0.112697,-4.226555,2.371159,1.074921,17.200898,-9.487623,4.889149,35.466945,-0.236599,1.143262,0.420761,-4.747105,-15.827517,0.904046,0.306368,0.166842,4.37876,149.066982,-0.313254,0.037889,0.001735,quarterly
CAH,2026-03-31,0.040991,0.013817,0.006547,0.01216,0.027519,-0.14089,0.007038,0.134159,0.033537,134.137153,0.878253,-18.898561,31.914564,79.162917,0.962582,34.978963,0.007455,-3.148305,0.157279,6.719298,4.881188,0.906523,0.477673,1.074988,4.465123,-42.085028,4.568922,0.002396,0.002117,quarterly
CARR,2026-03-31,0.232915,0.044935,0.044561,0.11159,-0.002808,0.017693,0.0064,0.009371,0.009825,239.716679,10.682001,4.241196,-3803.50464,115.106658,12.844705,-4573.571209,0.004172,0.934657,0.338111,18.098993,2.531532,1.050437,0.749796,0.143629,1.70639,178.444239,0.331933,0.0176,0.003932,quarterly
CASY,2026-04-30,0.23631,0.051367,0.035584,0.07663,0.045371,0.041168,0.018205,0.028082,0.030959,195.419703,6.953892,8.04502,153.265996,97.546185,7.474934,164.749914,0.005117,0.735142,0.325096,5.447953,,1.009926,0.597407,0.51161,18.775119,-8.435797,2.449596,0.041796,0.004466,quarterly
CAT,2026-03-31,0.330979,0.177146,0.146368,0.226242,0.047028,0.136595,0.026677,0.03955,0.056079,159.062338,23.281648,21.727126,495.054823,113.004714,25.566384,543.636844,0.006287,2.307808,0.450717,9.896954,24.962687,1.352794,0.806139,0.182261,0.795569,771.599185,0.733621,0.06035,,quarterly
CB,2026-03-31,,,0.156598,,0.266419,0.031441,0.008422,,,58.874488,9.21963,1.851098,34.605729,,10.823747,40.626758,0.016985,0.236759,0.063422,,16.116162,,,0.053784,0.394488,,1.701293,,,quarterly
CBOE,2026-03-31,0.472187,0.397234,0.303033,0.438639,1.524827,0.071778,0.03484,0.055493,0.080401,74.185617,22.480667,5.324908,14.743092,50.262924,22.04729,14.458878,0.01348,0.294892,0.143136,,39.759398,1.385103,,0.114971,2.473377,,5.08167,0.015085,0.010135,quarterly
CBRE,2026-03-31,0.175929,0.019949,0.030208,0.037238,-0.086064,0.037324,0.01054,0.009603,0.011403,129.796933,3.92091,4.844533,-45.557864,130.049557,4.842731,-56.268682,0.007704,1.215728,0.343321,16.043367,,1.083468,,0.348923,1.252618,,-2.59434,0.007694,0.00456,quarterly
CCI,2026-03-31,0.736634,0.477228,0.149505,0.625743,0.447525,-0.078646,0.00481,0.020705,0.017238,228.833782,34.211783,-17.996823,76.446684,101.863774,63.7405,142.428994,0.00437,-15.561979,0.951833,38.966772,1.957447,0.266525,,0.032175,2.752044,,3.370861,0.056436,0.017822,quarterly
CCL,2026-05-31,0.365901,0.12787,0.080594,0.234579,0.263395,0.041413,0.010282,0.021817,0.021653,67.360215,5.428851,2.789576,20.611074,38.461568,9.022277,34.253807,0.014846,2.0182,0.501072,14.488804,2.947368,0.334375,0.293286,0.127575,10.526066,-25.279208,4.897579,0.131322,0.003302,quarterly
CDNS,2026-03-31,0.854476,0.292586,0.227687,0.369068,0.20822,0.051156,0.027744,0.035721,0.046268,271.255483,61.761213,13.87642,296.615266,170.168832,62.803937,301.623066,0.003687,0.469919,0.254857,2.755992,14.541992,1.4707,1.323671,0.121853,2.855505,518.767235,1.059948,0.033116,0.093733,quarterly
CDW,2026-03-31,0.209514,0.0662,0.041445,0.079123,0.043734,0.092119,0.014307,0.033852,0.042753,72.310408,2.996914,6.661137,68.526047,50.266064,3.977177,90.940294,0.013829,2.266064,0.351945,11.264798,6.768535,1.164539,1.057946,0.345205,0.878084,111.559775,1.167375,0.004648,0.003891,quarterly
CEG,2026-03-31,0.268837,0.20374,0.14296,0.274231,-0.076425,0.047487,0.016407,0.0304,0.028412,56.684889,8.103666,2.691783,-106.034087,37.081888,10.169013,-133.058541,0.017641,0.670967,0.231821,7.103607,9.399209,1.36277,1.167386,0.114765,2.808586,124.303205,0.267296,0.114638,,quarterly
CF,2026-03-31,0.375629,0.345921,0.309668,0.558409,0.136455,0.115125,0.0421,0.064297,0.064542,30.331166,9.392582,3.491888,68.832721,20.870754,11.654414,85.408364,0.032969,0.677649,0.247809,1.058611,23.810811,3.539666,3.152401,0.135953,2.735537,62.195132,0.806504,0.113293,0.005539,quarterly
CFG,2026-03-31,,,0.238469,,0.109317,0.019754,0.002268,,,59.183049,14.113301,1.169098,129.10395,,16.231843,148.483698,0.016897,0.470503,0.054028,,,,,0.009512,,,0.458414,,0.015221,quarterly
CHD,2026-03-31,0.463758,0.198053,0.147213,0.244674,0.097257,0.051672,0.024016,0.036125,0.039062,107.429767,15.815054,5.551137,162.610627,69.849954,17.090491,175.724692,0.009308,0.526923,0.244901,4.735188,12.358333,1.217419,0.808193,0.163138,2.548214,73.054197,0.808137,0.021711,0.017491,quarterly
CHRW,2026-03-31,0.076695,0.04378,0.03669,0.049973,0.013353,0.086398,0.028122,0.050936,0.052617,166.92269,6.124329,14.421821,458.662792,129.95717,6.494338,486.373494,0.005991,0.965005,0.314108,5.899441,,1.585782,,0.766497,1.578545,,0.465921,0.003742,0.007051,quarterly
CHTR,2026-03-31,0.567772,0.237038,0.085534,0.389424,0.100905,0.07098,0.00752,0.021228,0.021677,17.698054,1.513778,1.2562,15.002067,22.12398,8.615612,85.383729,0.056503,5.909185,0.626096,18.187913,2.455414,0.400808,,0.087925,3.873789,,3.700774,0.215636,0.01493,quarterly
CI,2026-03-31,0.091782,0.03157,0.02422,0.047985,0.012652,0.039185,0.010792,0.024176,0.026098,45.013693,1.09021,1.763863,86.172046,29.823817,1.4311,113.116492,0.022215,0.732054,0.20161,7.28105,7.358543,0.818006,0.707163,0.445578,2.566693,-71.212503,0.683797,0.00391,,quarterly
CIEN,2026-04-30,0.440273,0.151951,0.138928,0.18994,0.139205,0.075451,0.036132,0.05096,0.053507,242.868812,33.741336,18.324588,242.386749,178.908306,33.981825,244.114343,0.004117,0.546493,0.261709,1.628958,11.467044,2.726743,2.108939,0.26008,1.492291,328.389057,1.190093,0.026133,0.035316,quarterly
CINF,2026-03-31,,,0.095704,,0.228432,0.017437,0.006649,,,102.065017,9.768011,1.779675,42.761185,,9.63703,42.187792,0.009798,0.056256,0.021451,,26.076923,,,0.069472,0.725177,,2.394161,0.000699,,quarterly
CL,2026-03-31,0.605935,0.181067,0.121337,0.20849,0.114388,4.455172,0.038892,0.090659,0.089359,115.172761,13.974756,513.114507,122.170121,73.240185,15.269836,133.491963,0.008683,54.986207,0.480012,5.98018,15.387097,1.024941,0.673407,0.32053,2.818422,127.765319,1.156347,0.02592,0.007513,quarterly
CLX,2026-03-31,0.432335,0.17006,0.111976,0.204192,-0.098802,-2.791045,0.029055,0.052827,0.086254,62.284198,6.974338,-173.837984,-70.588757,44.281949,9.042003,-91.516028,0.016055,-66.955224,0.697017,8.478006,10.481481,0.840254,0.653883,0.259478,2.488823,-196.398109,-0.652406,0.025749,0.008982,quarterly
CMCSA,2026-03-31,0.654004,0.131449,0.06911,0.244556,0.124011,0.024628,0.008361,0.016769,0.016882,39.090766,2.701571,0.962722,21.78501,22.149138,5.416706,43.679395,0.025581,1.071799,0.36389,11.067724,3.498172,0.865318,,0.120988,2.234479,,3.169733,0.09505,0.013574,quarterly
CME,2026-03-31,0.881389,0.696612,0.613957,0.871124,0.658529,0.043365,0.005715,0.033307,0.043186,76.706352,47.094379,3.326376,71.514532,54.965784,47.882007,72.710574,0.013037,0.128604,0.016947,0.630114,35.65367,1.018093,,0.009308,2.009727,,1.091484,0.011595,0.011595,quarterly
CMG,2026-03-31,0.232806,0.135521,0.098057,0.16684,0.15252,0.125777,0.034399,0.129718,0.055317,145.884589,14.305017,18.348859,93.791224,94.231277,15.721507,103.078475,0.006855,2.178852,0.595905,,,0.919155,0.883041,0.350808,32.530411,-19.991616,2.150919,0.058393,0.009067,quarterly
CMI,2026-03-31,0.267087,0.119076,0.077876,0.153846,0.014289,0.052951,0.018987,0.036335,0.041601,136.824387,10.655293,7.245012,745.692911,73.964515,11.379156,796.351283,0.007309,0.667152,0.239222,3.925697,13.289474,1.709354,1.106816,0.243809,1.286458,384.121934,0.472477,0.022505,,quarterly
CMS,2026-03-31,0.393773,0.179487,0.124542,0.358242,-0.094139,0.035918,0.00844,0.013363,0.015425,66.917442,8.33404,2.403542,-88.528912,43.42222,15.555652,-165.240975,0.014944,2.015424,0.473576,19.060327,2.77451,0.842149,0.663419,0.067767,1.947218,57.546584,2.164706,0.363736,,quarterly
CNC,2026-03-31,0.111285,0.037262,0.030855,0.051317,0.083413,0.071919,0.018984,0.0361,0.055021,21.289989,0.656893,1.531146,7.875149,9.964055,0.51133,6.13007,0.04697,0.764036,0.201675,,13.79878,1.123461,,0.615263,2.570987,,2.833225,0.004004,0.001342,quarterly
CNP,2026-03-31,0.416134,0.221176,0.106218,0.373445,-0.307899,0.027601,0.006606,0.01407,0.016179,89.285852,9.483808,2.464349,-30.80167,46.53765,17.37927,-56.444682,0.0112,2.155909,0.515981,21.641764,2.46595,1.164721,1.039157,0.06219,3.411697,32.177735,0.892405,0.402689,,quarterly
COF,2026-03-31,,,0.142735,,0.359136,0.019366,0.003183,,,58.946885,8.413796,1.141541,23.427884,,7.310851,20.356777,0.016964,0.456632,0.075065,,,,,0.022303,4.402023,,2.770469,0.036308,0.008601,quarterly
COHR,2026-03-31,0.376567,0.125341,0.106002,0.200363,-0.212379,0.017927,0.011072,0.01608,0.015086,283.745616,30.077672,5.086594,-141.622345,153.820281,30.819838,-145.116871,0.003524,0.320794,0.198136,4.425446,5.137237,3.049621,2.04329,0.104453,1.520079,494.147297,-0.490052,0.160433,0.027219,quarterly
COIN,2026-03-31,0.696671,0.009717,-0.278926,-0.26478,0.129332,-0.029236,-0.013661,0.000548,-0.022492,-105.032146,29.296165,3.070712,226.518815,-104.031689,27.545557,212.983057,-0.009521,0.590807,0.276075,,-19.590412,2.14123,,0.048979,7.791679,,-0.46368,,0.175554,quarterly
COO,2026-04-30,0.679982,-0.028664,-0.07203,0.062783,0.089135,-0.009455,-0.006241,-0.002898,-0.002575,-179.533319,12.931711,1.697514,145.079311,244.089055,15.324685,171.925797,-0.00557,0.298608,0.197095,34.151694,-1.315789,1.274339,0.777636,0.086643,1.336505,972.411216,-2.346598,0.079889,,quarterly
COP,2026-03-31,0.272572,0.214898,0.138506,0.416471,0.085464,0.033823,0.017788,0.025021,0.033213,64.017639,8.866855,2.165298,103.749448,23.874848,9.943183,116.343356,0.015621,0.361429,0.190075,2.65844,12.4,1.289449,1.137693,0.128425,2.235603,0.680357,1.967476,0.187044,,quarterly
COR,2026-03-31,0.045795,0.017376,0.020947,0.031981,0.01497,0.483087,0.020102,0.067303,0.087889,36.498007,0.764529,17.631718,51.069288,29.134689,0.931753,62.239572,0.027399,3.645384,0.151686,4.074011,14.532192,0.946708,0.590229,0.959631,3.147681,-39.633267,0.815581,0.002114,0.000357,quarterly
COST,2026-05-31,0.127724,0.039914,0.03108,0.050576,0.028868,0.065415,0.025362,0.053606,0.067035,190.353976,5.916258,12.452055,204.939055,116.510009,5.892654,204.121416,0.005253,0.2428,0.094134,,92.8125,1.072451,0.61149,0.816001,18.8072,1.934404,1.573449,0.020035,0.001687,quarterly
CPAY,2026-03-31,0.784247,0.408206,0.277613,0.578866,-0.085419,0.09973,0.013128,0.025992,0.052684,68.297798,18.960336,6.811358,-221.969112,44.102265,25.529319,-298.872357,0.014642,2.951642,0.388551,10.71841,5.586894,0.976505,,0.04729,0.479296,,-0.161741,0.040517,0.021804,quarterly
CPB,2026-04-30,0.274725,0.103973,0.052409,0.146661,0.012257,0.030785,0.008189,0.017381,0.019856,53.099949,2.782922,1.634656,227.04806,38.963672,5.714452,466.220491,0.018832,1.740318,0.462951,19.043228,2.915663,0.866283,0.375085,0.156254,4.286232,104.299739,0.798387,0.029586,0.00634,quarterly
CPRT,2026-04-30,0.462869,0.375309,0.325287,0.423072,0.406854,0.045862,0.041704,0.042302,0.051795,66.095626,21.500022,3.031245,52.844589,41.02704,17.357392,42.66248,0.01513,0.010612,0.00965,,,7.612703,7.540275,0.128206,1.557092,-66.973349,1.451781,0.065391,0.00765,quarterly
CPT,2026-03-31,0.611629,0.193488,0.109187,0.598475,0.139109,0.010536,0.004686,0.008898,0.009593,263.710914,28.793832,2.778501,206.986882,69.009082,41.300224,296.890133,0.003792,1.054999,0.469166,18.093295,2.21288,0.31334,,0.042913,48.139302,,3.48901,0.241845,0.010425,quarterly
CRH,2026-03-31,0.277476,-0.001628,-0.023881,0.075305,-0.165129,-0.007629,-0.003026,-0.000218,-0.000438,-390.745228,9.331229,2.980849,-56.508759,157.539038,11.863523,-71.844015,-0.002559,0.885441,0.351196,27.583784,-0.103448,1.590344,1.094996,0.126704,1.682648,361.617598,3.5,0.081547,0.003935,quarterly
CRL,2026-03-31,0.295898,0.120399,-0.014905,0.064219,-0.014893,-0.005048,-0.00192,0.010577,-0.000482,-728.048891,10.851681,3.674914,-728.637968,214.646387,13.784332,-925.551283,-0.001374,1.039329,0.395359,38.643696,-0.119662,1.361251,1.032348,0.128822,1.942162,305.462566,-2.767432,0.056142,0.022475,quarterly
